x,y,z,distance,label
-55,-3,31,1,0
-56,-3,31,3,0
-54,-4,33,1.414213562,0
-55,-3,33,1.414213562,0
-56,-3,32,1.414213562,0
-57,-3,31,2.236067977,0
-55,-3,32,3.741657387,0
-57,-4,29,1,0
-57,-4,30,1,0
-57,-4,29,4.358898944,0
-54,-3,32,2,0
-56,-3,32,0,0
-56,-3,32,1,0
-56,-3,31,1.414213562,0
-57,-4,31,1,0
-56,-4,31,1.732050808,0
-57,-3,30,2.236067977,0
-56,-3,32,0,0
-56,-3,32,1,0
-56,-3,31,0,0
-56,-3,31,0,0
-56,-3,31,0,0
-56,-3,31,1,0
-57,-3,31,1.414213562,0
-56,-3,30,1,0
-56,-3,31,1,0
-56,-3,32,0,0
-56,-3,32,1,0
-56,-3,31,0,0
-56,-3,31,1,0
-57,-3,31,1.414213562,0
-56,-3,30,1,0
-56,-3,31,1.414213562,0
-56,-2,32,1.414213562,0
-56,-3,31,0,0
-56,-3,31,0,0
-56,-3,31,1.414213562,0
-57,-2,31,1.414213562,0
-57,-3,30,1.414213562,0
-56,-3,31,1,0
-56,-3,32,1,0
-56,-3,31,1,0
-56,-2,31,1,0
-56,-2,32,1.414213562,0
-56,-3,31,0,0
-56,-3,31,1,0
-56,-3,32,1,0
-56,-3,31,0,0
-56,-3,31,1,0
-56,-2,31,1.414213562,0
-56,-3,32,1,0
-56,-3,31,0,0
-56,-3,31,1,0
-56,-3,32,1,0
-56,-3,31,1,0
-56,-2,31,1,0
-56,-2,32,1.414213562,0
-56,-3,31,1.414213562,0
-56,-2,32,1.414213562,0
-56,-3,31,0,0
-56,-3,31,0,0
-56,-3,31,1.414213562,0
-56,-2,32,1,0
-56,-2,31,0,0
-56,-2,31,1.414213562,0
-55,-2,32,1.732050808,0
-56,-3,31,1,0
-56,-2,31,1.414213562,0
-56,-3,32,1,0
-56,-2,32,1.414213562,0
-56,-3,31,1,0
-56,-2,31,0,0
-56,-2,31,1,0
-56,-3,31,1.414213562,0
-56,-2,32,0,0
-56,-2,32,1.414213562,0
-56,-3,31,1.414213562,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-56,-2,31,1,0
-56,-2,32,1,0
-56,-3,32,1.414213562,0
-56,-2,31,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,1,0
-55,-2,32,0,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,0,0
-55,-2,32,0,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,0,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1.414213562,0
-55,-2,33,1,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-55,-2,33,1.414213562,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,0,0
-55,-2,32,0,0
-55,-2,32,1,0
-56,-2,32,1,0
-55,-2,32,1,0
-55,-2,33,1.414213562,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,1.414213562,0
-55,-2,33,1.414213562,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,0,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,0,0
-55,-2,32,0,0
-55,-2,32,0,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-55,-2,33,1,0
-56,-2,33,1,0
-56,-2,32,0,0
-56,-2,32,1.414213562,0
-55,-1,32,1.414213562,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,0,0
-55,-2,32,1.414213562,0
-56,-1,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,1,0
-55,-2,32,0,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-56,-1,32,1,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,1,0
-56,-1,32,1.414213562,0
-55,-2,32,0,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-56,-1,32,1,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1.414213562,0
-56,-1,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,0,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,0,0
-56,-2,32,1,0
-56,-2,33,0,0
-56,-2,33,1.414213562,0
-55,-2,32,1,0
-56,-2,32,1,0
-55,-2,32,0,0
-55,-2,32,0,0
-55,-2,32,1,0
-56,-2,32,0,0
-56,-2,32,1,0
-55,-2,32,0,0
-55,-2,32,1.414213562,0
-56,-2,33,1,0
-56,-2,32,0,0
